ID,Value
137351,3403.0
207707,6665.0
242101,587.0
200104,35190.0
244229,726.0
152879,7315.0
208379,6060.0
245232,489.25
244780,133.0
232008,8335.0
228699,905.0
224078,161.1
239826,628.0
209895,119.7
235770,174.8
226045,7565.0
235875,6650.0
245083,91.5
241570,994.25
243468,410.25
232314,165.0
242404,378.9
225169,854.25
237177,640.0
231682,127.9
202788,680.75
243216,73.8
209193,378.8
236171,372.5
244073,160.9
214085,1589.25
246118,631.75
244016,114.9
227982,951.5
243967,482.25
220702,3734.0
198134,524.0
209546,454.0
237456,4070.0
207916,999.75
212493,1115.25
184254,303.95
242766,355.1
211825,838.0
146536,13340.0
193794,1529.0
199504,3560.0
157703,996.0
232164,241.5
243178,206.9
173546,9630.0
245265,252.9
203757,16315.0
201265,817.0
193495,2314.0
219584,708.25
244662,254.6
226002,1162.0
239936,978.75
246061,446.0
217332,267.7
192566,495.5
172018,3880.0
182670,3063.0
242636,111.1
232097,15805.0
203888,4569.0
229092,11140.0
241178,325.1
202131,820.5
220064,3558.0
232230,2701.0
179616,390.9
225381,727.0
245356,123.4
245056,145.7
209317,953.75
202654,253.95
238636,953.25
242497,159.8
211434,274.95
223307,935.25
243788,654.25
243862,1463.0
203834,216.0
207553,2989.0
243644,327.55
223593,3667.0
227153,1871.0
212457,741.5
181383,4313.0
171377,297.15
242987,99.1
208230,6795.0
198638,1112.25
219949,356.3
207651,513.25
224597,282.8
243946,467.0
237463,54.4
229466,1050.0
231089,1619.0
200130,738.0
189962,653.5
187659,5095.0
198479,1695.0
233484,1142.75
171620,479.75
230083,265.35
193771,614.0
240082,1449.0
203145,282.75
204095,414.9
208831,149.1
244411,49.7
185427,2726.0
234393,89.0
214030,699.0
213157,446.5
236264,2569.0
244746,212.35
203283,1044.5
227513,1175.5
243231,827.5
233945,79.7
212879,1979.0
234587,600.75
230255,4845.0
183526,7725.0
211245,606.25
213345,29435.0
189358,16705.0
125586,98.3
244194,1305.0
169578,441.25
218745,6332.0
240192,100.8
205878,4026.0
222970,2226.0
200473,4782.0
172475,1747.0
215437,2963.0
102593,86.6
222148,8805.0
224267,715.75
219720,364.4
223740,2168.0
212540,892.0
226609,521.25
239800,247.3
241582,146.8
182043,2420.0
234025,1107.75
235077,1599.0
246176,242.8
236668,716.0
244202,484.0
238988,953.5
230942,169.6
203849,522.0
185020,26645.0
239882,111.0
190243,7565.0
214473,282.7
244968,614.0
215752,161.4
222160,584.75
224837,335.5
197391,554.75
191675,294.7
245507,114.2
230621,26505.0
243999,262.4
240908,591.0
203915,656.75
222492,53025.0
244309,1177.0
167497,278.45
245212,723.0
223278,1461.5
238270,287.55
223146,396.4
242250,319.15
227656,1148.0
114764,586.5
237269,76.2
205855,10935.0
244711,127.7
222503,128.5
183425,952.5
188594,260.2
204474,1201.25
162131,4975.0
227899,235.0
192001,1240.0
237097,167.3
212063,168.5
226130,1173.5
242907,76.2
216114,249.9
199398,501.25
236470,124.4
243402,3242.0
221633,427.25
237823,1151.5
188616,3620.0
172786,675.0
152745,489.25
229105,327.65
228858,204.8
208590,377.05
193442,789.5
207629,832.0
199721,849.0
227840,942.0
235467,1336.0
170445,322.8
188978,343.65
246180,119.3
241489,1207.5
225845,140.9
192634,3675.0
244724,680.25
240220,83.9
236023,246.05
203430,311.4
193470,6555.0
229167,11300.0
241696,465.5
241245,91.7
234897,508.75
239308,318.05
138086,56.1
155351,60.9
172672,2389.0
189833,772.75
189242,60390.0
230333,1039.5
192937,284.25
