ID,survived
786,1
787,0
788,0
789,0
790,0
791,1
792,0
793,0
794,0
795,0
796,1
797,1
798,0
799,1
800,0
801,0
802,0
803,1
804,0
805,0
806,0
807,0
808,0
809,1
810,0
811,1
812,0
813,0
814,0
815,0
816,0
817,0
818,1
819,1
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,1
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,1
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,1
856,0
857,0
858,0
859,0
860,0
861,1
862,0
863,0
864,1
865,1
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,1
889,0
890,0
891,0
892,1
893,0
894,1
895,0
896,0
897,0
898,1
899,0
900,0
901,1
902,0
903,1
904,1
905,1
906,1
907,1
908,1
909,1
910,0
911,0
912,0
913,0
914,1
915,0
916,0
917,1
918,1
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,1
928,0
929,0
930,1
931,0
932,0
933,1
934,0
935,0
936,0
937,0
938,0
939,1
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,1
963,0
964,0
965,0
966,0
967,0
968,0
969,1
970,1
971,1
972,0
973,0
974,0
975,1
976,1
977,0
978,0
979,0
980,1
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,1
990,0
991,0
992,0
993,0
994,1
995,0
996,0
997,1
998,0
999,0
1000,0
1001,1
1002,0
1003,0
1004,1
1005,0
1006,0
1007,0
1008,0
1009,0
1010,1
1011,0
1012,0
1013,0
1014,0
1015,0
1016,1
1017,1
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,1
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,1
1038,0
1039,0
1040,0
1041,1
1042,0
1043,0
1044,1
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,1
1052,0
1053,0
1054,0
1055,0
1056,1
1057,0
1058,1
1059,0
1060,0
1061,1
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,1
1070,0
1071,0
1072,1
1073,0
1074,0
1075,0
1076,0
1077,0
1078,1
1079,0
1080,0
1081,0
1082,1
1083,1
1084,0
1085,0
1086,0
1087,0
1088,0
1089,1
1090,0
1091,0
1092,0
1093,1
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,1
1110,1
1111,1
1112,1
1113,1
1114,1
1115,0
1116,1
1117,0
1118,1
1119,1
1120,1
1121,1
1122,1
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,1
1130,1
1131,1
1132,1
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,1
1141,0
1142,0
1143,0
1144,1
1145,1
1146,1
1147,1
1148,1
1149,0
1150,1
1151,1
1152,1
1153,1
1154,0
1155,1
1156,1
1157,1
1158,0
1159,1
1160,1
1161,1
1162,1
1163,1
1164,0
1165,1
1166,1
1167,1
1168,1
1169,1
1170,1
1171,0
1172,1
1173,1
1174,0
1175,1
1176,1
1177,1
1178,1
1179,0
1180,1
1181,0
1182,0
1183,1
1184,1
1185,0
1186,1
1187,1
1188,1
1189,0
1190,1
1191,1
1192,1
1193,1
1194,1
1195,1
1196,1
1197,1
1198,1
1199,1
1200,1
1201,1
1202,1
1203,1
1204,1
1205,1
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,0
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1219,1
1220,1
1221,1
1222,1
1223,1
1224,1
1225,1
1226,1
1227,1
1228,1
1229,1
1230,1
1231,1
1232,1
1233,1
1234,1
1235,1
1236,1
1237,1
1238,1
1239,1
1240,1
1241,1
1242,1
1243,0
1244,0
1245,1
1246,0
1247,1
1248,0
1249,1
1250,0
1251,0
1252,1
1253,1
1254,0
1255,1
1256,0
1257,0
1258,1
1259,1
1260,1
1261,0
1262,0
1263,1
1264,0
1265,0
1266,1
1267,1
1268,0
1269,0
1270,1
1271,0
1272,1
1273,0
1274,1
1275,1
1276,0
1277,1
1278,0
1279,1
1280,0
1281,1
1282,0
1283,1
1284,1
1285,1
1286,0
1287,0
1288,1
1289,1
1290,0
1291,0
1292,1
1293,0
1294,1
1295,1
1296,0
1297,0
1298,1
1299,1
1300,0
1301,1
1302,1
1303,0
1304,0
1305,0
1306,1
1307,1
1308,0
1309,1
